icao,iata,nombre,ciudad,pais,tipo,lat,lon
AR-0164,,Fumigaciones Stadler Airport,Serodino,AR,small_airport,-32.5786,-60.9119
AR-0165,,Galvez Airport,Galvez,AR,small_airport,-32.0322,-61.1758
AR-0166,,General Alvear Aeroclub Airport,General Alvear,AR,small_airport,-34.9730987549,-67.7236022949
AR-0167,,General Belgrano Airport,General Belgrano,AR,small_airport,-35.7519,-58.4633
AR-0168,,General Deheza Airport,General Deheza,AR,small_airport,-32.745300293,-63.7957992554
AR-0169,,General La Madrid Airport,General La Madrid,AR,small_airport,-37.226261,-61.279101
AR-0170,,General Las Heras Aeroclub,General Las Heras,AR,small_airport,-34.9206,-58.9164
AR-0171,,General Levalle Airport,General Levalle,AR,small_airport,-34.0038871765,-63.9308319092
AR-0172,,General Madariaga Airport,General Madariaga,AR,small_airport,-37.0392,-57.1372
AR-0173,,General Pìnedo Airport,General Pìnedo,AR,small_airport,-27.3394,-61.2744
AR-0174,,General Pinto Airport,General Pinto,AR,small_airport,-34.7861,-61.9142
AR-0176,,Los Toldos Airport,General Viamonte,AR,small_airport,-34.97726,-61.020942
AR-0177,,Gobernador Crespo Aeroclub Airport,Gobernador Crespo,AR,small_airport,-30.3878,-60.3656
AR-0178,,Gobernador Santillán Airport,Santiago Del Estero,AR,small_airport,-27.901399612426758,-64.24970245361328
AR-0179,,Gomez Airport,Gomez,AR,small_airport,-35.0956,-58.0853
AR-0180,,Gonzales Chaves Airport,Adolfo Gonzales Chaves,AR,small_airport,-38.02949,-60.135654
AR-0181,,Goya Aeroclub,Goya,AR,small_airport,-29.1678,-59.2464
AR-0182,,Guadalupe Airport,Santa Fe,AR,small_airport,-31.584,-60.668
AR-0183,,Gualeguay Airport,Gualeguay,AR,small_airport,-33.1036109924,-59.3747215271
AR-0184,,Agro Aereo Gualeguay Airport,Gualeguay,AR,small_airport,-33.0386,-59.4383
AR-0193,,Henderson Airport,Henderson,AR,small_airport,-36.3147010803,-61.747798919699996
AR-0198,,Huanguelen Airport,Huanguelen,AR,small_airport,-37.0330543518,-61.934165954600005
AR-0199,,Huinca Renanco Airport,Huinca Renanco,AR,small_airport,-34.8203010559,-64.3731002808
AR-0200,,Ingeniero Luiggi Airport,Ingeniero Luiggi,AR,small_airport,-35.3549995422,-64.4758300781
AR-0201,,Agroservicio Doña Teresa Airport,Bandera,AR,small_airport,-28.8494,-62.2625
AR-0202,,Establecimiento La Susana Airport,Ingeniero Williams,AR,small_airport,-34.910632,-59.348678
AR-0203,,Intendente Alvear Airport,Intendente Alvear,AR,small_airport,-35.2592,-63.5328
AR-0204,,Intendente Alvear,Intendente Alvear,AR,small_airport,-35.2494,-63.5342
AR-0205,,Fumigaciones Herbinsec Airport,Roberts,AR,small_airport,-35.138611,-62.705278
AR-0207,,Don Hector Biondi Airport,Isla Verde,AR,small_airport,-33.2464,-62.4167
AR-0208,,Italaviation Airport,Goya,AR,small_airport,-29.1608,-59.1814
AR-0209,,Jacinto Arauz Airport,Jacinto Arauz,AR,small_airport,-38.066101074200006,-63.4282989502
AR-0210,,Jardin De América Airport,Jardin de América,AR,small_airport,-27.032499,-55.198055
AR-0211,,Jesús Maria Airport,Jesús Maria,AR,small_airport,-30.988100051900002,-64.0768966675
AR-0212,,Agropecuaria Rio Juramento Airport,Joaquin V. Gonzalez,AR,small_airport,-25.1867008209,-64.0828018188
AR-0213,,Tres Lomas Airport,Jose Maria Blanco,AR,small_airport,-36.4439,-62.8792
AR-0214,,Juan Carlos Bagur Airport,Nogoya,AR,small_airport,-32.4186,-59.8158
AR-0216,,Juarez Celman Airport,Juarez Celman,AR,small_airport,-31.2113895416,-64.1613922119
AR-0217,,La Angelita Airport,Federal,AR,small_airport,-30.8522,-58.7067
AR-0218,,Trenque Lauquen Airport,Trenque Lauquen,AR,small_airport,-36.0158,-62.6939
AR-0219,,La Caida Airport,Longchamps,AR,small_airport,-34.859281,-58.342426
AR-0222,,La Consulta Airport,La Consulta,AR,small_airport,-33.7308349609375,-69.17388916015625
AR-0224,,La Laja Airport,La Laja,AR,small_airport,-31.3513889313,-68.47305297850001
AR-0225,,Quebracho Herrado Airport,Capitán Sarmiento,AR,small_airport,-34.1553,-59.8739
AR-0227,,La Mezquita Airport,Cordoba/La Mezquita,AR,small_airport,-31.400800705,-64.3003005981
AR-0229,,La Nueva Airport,Lincoln,AR,small_airport,-34.9464,-61.3042
AR-0230,,La Paz Aeroclub Airport,La Paz,AR,small_airport,-30.743991,-59.569333
AR-0231,,La Pelada Airport,La Pelada,AR,small_airport,-30.9556,-60.8858
AR-0232,,La Siesta Airport,Venado Tuerto,AR,small_airport,-33.6939,-62.0625
AR-0234,,Laborde Airport,Laborde,AR,small_airport,-33.1567,-62.8906
AR-0235,,Lago Buenos Aires (Aeroclub Perito Moreno) Airfield,Perito Moreno,AR,small_airport,-46.576307,-70.947871
AR-0237,,Lago La Esperanza Airport,Esquel,AR,small_airport,-42.217499,-71.805003
AR-0238,,Lago Nahuel Huapi Airfield,San Carlos de Bariloche,AR,small_airport,-41.096709,-71.178021
AR-0239,,Laguna Aeroclub Airport,San Andres de Giles,AR,small_airport,-34.40888977050781,-59.45833206176758
AR-0240,,Laguna De Gomez Airport,Laguna de Gomez,AR,small_airport,-34.6539,-61.01
AR-0241,,Laprida Airport,Laprida,AR,small_airport,-37.520913,-60.778141
AR-0244,,Las Cortaderas Airport,Miramar,AR,small_airport,-38.3547,-58.1089
AR-0245,,Las Marias Airport,Gdor. Valentin Virasoro,AR,small_airport,-28.1,-56.05
AR-0246,,Las Ovejas Airport,Las Ovejas,AR,small_airport,-36.999699,-70.741897
AR-0247,,Las Rosas Airport,Las Rosas,AR,small_airport,-32.4922,-61.5806
AR-0248,,Las Varillas Airport,Las Varillas,AR,small_airport,-31.8914,-62.7047
AR-0249,,Lanzillota Airport,Ciudad de Lavalle,AR,small_airport,-32.7214012146,-68.6342010498
AR-0251,,Leones Airport,Leones,AR,small_airport,-32.6368,-62.3148
AR-0252,,Luján Airport,Lujan,AR,small_airport,-34.5514,-59.0783
AR-0253,,Lincoln Airport,Lincoln,AR,small_airport,-34.8911,-61.5306
AR-0254,,El Mirador,San Andres de Giles,AR,small_airport,-34.538887,-59.585278
AR-0255,,Loberia Airport,Loberia,AR,small_airport,-38.1906,-58.7864
AR-0256,,Nika Airport,Lobería,AR,small_airport,-38.143874,-58.7479
AR-0257,,Lobos Airport,Lobos,AR,small_airport,-35.210784,-59.137149
AR-0258,,Los Cardos Airport,Los Cardos,AR,small_airport,-32.2719,-61.6622
AR-0260,,Los Perales Airport,Las Heras,AR,small_airport,-46.1907997131,-69.28029632570001
AR-0261,,Los Tucanes Airport,Tucuman,AR,small_airport,-27.0358333588,-65.1566696167
AR-0262,,Macachin Airport,Macachin,AR,small_airport,-37.143716,-63.678678
AR-0264,,Maipú Airport,Maipú,AR,small_airport,-36.8903,-57.8503
AR-0266,,Marcos Paz Airfield,Marcos Paz,AR,small_airport,-34.7975,-58.8969
AR-0267,,Martín Fierro Airport,Vicuña Mackena,AR,small_airport,-33.940299987799996,-64.3696975708
AR-0269,,Meliquina Airport,Meliquina,AR,small_airport,-40.33530044555664,-71.33920288085938
AR-0271,,Mercedes Airport,Mercedes,AR,small_airport,-34.638136,-59.455395
AR-0272,,Azcarate Irastorza Airport,Intendente Alvear,AR,small_airport,-35.1994,-63.6008
AR-0273,,Metán Airport,Metan,AR,small_airport,-25.5144004822,-64.9655990601
AR-0274,,Mina Clavero Airport,Mina Clavero,AR,small_airport,-31.7331008911,-64.98560333249999
AR-0276,,Monte Maiz Airport,Monte Maiz,AR,small_airport,-33.2103,-62.6297
AR-0278,,Moromar Airport,Quequen,AR,small_airport,-38.425775,-58.371331
AR-0280,,Morteros Airport,Morteros,AR,small_airport,-30.6778,-62.0267
AR-0281,,Navarro Airport,Navarro,AR,small_airport,-35.0236,-59.2858
AR-0282,,Nogoya Airport,Nogoya,AR,small_airport,-32.4025,-59.7461
AR-0285,,Oliva Airport,Oliva,AR,small_airport,-32.060798645,-63.5469017029
AR-0288,,Haydee Airport,Carlos Caceres,AR,small_airport,-35.669894,-61.405525
AR-0289,,Parana Aeroclub Airport,Parana,AR,small_airport,-31.757647,-60.373617
AR-0290,,Parana Club De Planeadores Airport,Parana,AR,small_airport,-31.7314,-60.22
AR-0291,,Parque Hermoso Airport,Mar Del Plata,AR,small_airport,-38.0287,-57.6393
AR-0292,,Pedro Luro Airport,Pedro Luro,AR,small_airport,-39.4561,-62.6747
AR-0293,,Pellegrini Airport,Pellegrini,AR,small_airport,-36.2828,-63.1342
AR-0294,,LAD 2198 Juan Jose Angelini,San Andres de Giles,AR,small_airport,-34.426945,-59.480278
AR-0295,,Pilcaniyeu Airport,Pilcaniyeu,AR,small_airport,-41.12666702270508,-70.7138900756836
AR-0296,,Pinamar Airport,Pinamar,AR,small_airport,-37.0911,-56.9783
AR-0298,,Poblet Airport,Poblet,AR,small_airport,-35.0881,-57.9492
AR-0304,,Puán Airport,Puán,AR,small_airport,-37.5393981934,-62.734199523899996
AR-0305,,Pueblo Esther Airport,Rosario,AR,small_airport,-33.0817,-60.5647
AR-0306,,Terminal 6 Airport,Puerto San Martín,AR,small_airport,-32.6417,-60.7539
AR-0307,,Pulmari Airport,Pulmari,AR,small_airport,-39.100555419921875,-70.99888610839844
AR-0308,,Punta Alta Airport,Punta Alta,AR,small_airport,-38.8342,-62.0869
AR-0311,,La Igualdad Airport,Ranchos,AR,small_airport,-35.5133,-58.3531
AR-0312,,Rawson Airport,Rawson,AR,small_airport,-43.2944,-65.0644
AR-0313,,Realicó Airport,Realicó,AR,small_airport,-35.0592002869,-64.2110977173
AR-0314,,Nueva Valencia Airport,Riachuelo,AR,small_airport,-27.5864,-58.8203
AR-0315,,Don Jose Airport,Ricardone,AR,small_airport,-32.8275,-60.7817
AR-0316,,Rio Chico Airport,Rio Gallegos,AR,small_airport,-51.668997,-69.266365
AR-0318,,Rivadavia Airport,Rivadavia,AR,small_airport,-33.227222,-68.474167
AR-0319,,Rojas Airport,Rojas,AR,small_airport,-34.215,-60.6725
AR-0320,,Rosario De La Frontera Airport,Rosario de La Frontera,AR,small_airport,-25.828056335399996,-64.9680557251
AR-0321,,Rosario Del Tala Airport,Rosario Del Tala,AR,small_airport,-32.3289,-59.1906
AR-0322,,Rufino Airport,Rufino,AR,small_airport,-34.2831,-62.6719
AR-0323,,Salliqueló Airport,Salliqueló,AR,small_airport,-36.756401062,-62.9444007874
AR-0324,,Salto Airport,Salto,AR,small_airport,-34.306864,-60.286489
AR-0325,,San Benito Airport,San Benito,AR,small_airport,-31.8086,-60.4517
AR-0326,,San Cayetano Heliport,San Cayetano,AR,small_airport,-38.33388900756836,-59.630279541015625
AR-0327,,San Cristobal Airport,San Cristobal,AR,small_airport,-30.2642,-61.2203
AR-0328,,San Francisco Airport,San Francisco,AR,small_airport,-31.4142,-62.1336
AR-0331,,San Jorge Airport,San Jorge,AR,small_airport,-31.8836,-61.8442
AR-0332,,San Justo Airport,San Justo,AR,small_airport,-30.7642,-60.5653
AR-0333,,Aeroclub San Martín,San Martin,AR,small_airport,-33.061883,-68.508644
AR-0334,,San Miguel del Monte Airport,San Miguel del Monte,AR,small_airport,-35.4594,-58.7636
AR-0335,,Bahía Dorada Airport,Sierra Grande,AR,small_airport,-41.8428,-65.0822
AR-0336,,San Vicente Airport,Fabiano,AR,small_airport,-26.9533004761,-54.4878005981
AR-0338,,Santo Tome Airport,Santo Tome,AR,small_airport,-28.5272216796875,-56.10944366455078
AR-0341,,Scaro Airport,Monterrico,AR,small_airport,-24.4480552673,-65.1758346558
